@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute oschook-1 numeric
@attribute oschook-2 numeric
@attribute oschook-3 numeric
@attribute oschook-4 numeric
@attribute outputs-1 {0,1,2}

@data
268,'2023/12/10 06:27:13:253',3,199.847351,93.762535,-4.854916,0,1
269,'2023/12/10 06:27:13:337',3,200.385666,93.756577,-5.3793,0,1
270,'2023/12/10 06:27:13:372',3,200.754501,93.757576,-5.739676,0,1
271,'2023/12/10 06:27:13:441',3,201.013336,93.752541,-5.991563,0,1
272,'2023/12/10 06:27:13:543',3,201.282272,93.736732,-6.25422,0,1
273,'2023/12/10 06:27:13:553',3,201.931854,93.702354,-6.891643,0,1
274,'2023/12/10 06:27:13:646',3,202.576584,93.677536,-7.521884,0,1
275,'2023/12/10 06:27:13:674',3,203.298309,93.668785,-8.23096,0,1
276,'2023/12/10 06:27:13:747',3,204.009354,93.673035,-8.946243,0,1
277,'2023/12/10 06:27:13:850',3,204.816406,93.680222,-9.769629,0,1
278,'2023/12/10 06:27:13:852',3,205.620117,93.673164,-10.590007,0,1
279,'2023/12/10 06:27:13:953',3,206.525116,93.681412,-11.513331,0,1
280,'2023/12/10 06:27:13:972',3,207.050125,93.695473,-12.064864,0,1
281,'2023/12/10 06:27:14:055',3,207.613327,93.729454,-12.643591,0,1
282,'2023/12/10 06:27:14:091',3,207.731049,93.762772,-12.782675,0,1
283,'2023/12/10 06:27:14:260',3,207.960892,93.785202,-13.025999,0,1
284,'2023/12/10 06:27:14:260',3,207.958069,93.792969,-13.045558,0,1
285,'2023/12/10 06:27:14:273',3,207.831955,93.79496,-12.936873,0,1
286,'2023/12/10 06:27:14:362',3,207.677826,93.791763,-12.801033,0,1
287,'2023/12/10 06:27:14:398',3,207.504684,93.797661,-12.647131,0,1
288,'2023/12/10 06:27:14:464',3,207.277237,93.808868,-12.430077,0,1
289,'2023/12/10 06:27:14:567',3,207.146866,93.818581,-12.294875,0,1
290,'2023/12/10 06:27:14:572',3,206.7854,93.816345,-11.916285,0,1
291,'2023/12/10 06:27:14:669',3,206.282166,93.810059,-11.394349,0,1
292,'2023/12/10 06:27:14:692',3,205.809402,93.780342,-10.885365,0,1
293,'2023/12/10 06:27:14:771',3,205.192078,93.753273,-10.241358,0,1
294,'2023/12/10 06:27:14:874',3,204.717041,93.738419,-9.744212,0,1
295,'2023/12/10 06:27:14:875',3,204.262497,93.734695,-9.272429,0,1
296,'2023/12/10 06:27:14:976',3,203.969818,93.729973,-8.955586,0,1
297,'2023/12/10 06:27:14:991',3,203.700607,93.730507,-8.665632,0,1
298,'2023/12/10 06:27:15:080',3,203.384521,93.720192,-8.333083,0,1
