@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute oschook-1 numeric
@attribute oschook-2 numeric
@attribute oschook-3 numeric
@attribute oschook-4 numeric
@attribute outputs-1 {0,1,2}

@data
230,'2023/12/10 03:24:01:098',4,107.981865,102.735458,85.738777,0,?
231,'2023/12/10 03:24:01:130',4,108.407486,102.714973,85.686699,0,?
232,'2023/12/10 03:24:01:210',4,108.735725,102.678101,85.749992,0,?
233,'2023/12/10 03:24:01:241',4,109.103348,102.662056,85.7575,0,?
234,'2023/12/10 03:24:01:305',4,109.316093,102.63652,85.883354,0,?
235,'2023/12/10 03:24:01:416',4,109.447273,102.615929,86.087898,0,?
236,'2023/12/10 03:24:01:432',4,109.54129,102.577568,86.308105,0,?
237,'2023/12/10 03:24:01:512',4,109.690552,102.543411,86.424156,0,?
238,'2023/12/10 03:24:01:543',4,109.78923,102.526268,86.539337,0,?
239,'2023/12/10 03:24:01:622',4,109.85022,102.484123,86.683815,0,?
240,'2023/12/10 03:24:01:669',4,109.848221,102.467468,86.889915,0,?
241,'2023/12/10 03:24:01:732',4,109.844032,102.425102,87.090019,0,?
242,'2023/12/10 03:24:01:828',4,109.827339,102.35405,87.249626,0,?
243,'2023/12/10 03:24:01:844',4,109.789063,102.296822,87.431442,0,?
244,'2023/12/10 03:24:01:923',4,109.572044,102.12989,87.744766,0,?
245,'2023/12/10 03:24:01:970',4,109.215012,101.898788,88.184769,0,?
246,'2023/12/10 03:24:02:033',4,109.020935,101.617249,88.421234,0,?
247,'2023/12/10 03:24:02:128',4,108.982132,101.330421,88.501602,0,?
248,'2023/12/10 03:24:02:143',4,109.185699,101.015587,88.341118,0,?
249,'2023/12/10 03:24:02:223',4,109.773003,100.758102,87.795265,0,?
250,'2023/12/10 03:24:02:271',4,110.277367,100.545349,87.329697,0,?
251,'2023/12/10 03:24:02:334',4,110.996979,100.361221,86.653557,0,?
252,'2023/12/10 03:24:02:381',4,111.484756,100.186684,86.210075,0,?
253,'2023/12/10 03:24:02:445',4,111.819595,100.065231,85.905167,0,?
254,'2023/12/10 03:24:02:540',4,112.056213,99.971825,85.697784,0,?
255,'2023/12/10 03:24:02:572',4,111.806175,99.878433,85.959755,0,?
256,'2023/12/10 03:24:02:635',4,111.551292,99.779282,86.232689,0,?
257,'2023/12/10 03:24:02:812',4,111.286362,99.675316,86.517685,0,?
258,'2023/12/10 03:24:02:812',4,111.259773,99.58268,86.562538,0,?
